,Survived,Sex,Age,SibSp,Parch,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,0,1,-0.527668557291984,1,0,0,0,1,0,0,1
1,1,0,0.5770938751757179,1,0,1,0,0,1,0,0
2,1,0,-0.25147794917505856,0,0,0,0,1,0,0,1
3,1,0,0.36995091908802374,1,0,1,0,0,0,0,1
4,0,1,0.36995091908802374,0,0,0,0,1,0,0,1
6,0,1,1.6818563076434199,0,0,1,0,0,0,0,1
7,0,1,-1.9086215978766115,3,1,0,0,1,0,0,1
8,1,0,-0.1824302971458272,0,2,0,0,1,0,0,1
9,1,0,-1.080049773525835,1,0,0,1,0,1,0,0
10,1,0,-1.7705262938181487,1,1,0,0,1,0,0,1
11,1,0,1.9580469157603453,0,0,1,0,0,0,0,1
12,0,1,-0.6657638613504469,0,0,0,0,1,0,0,1
13,0,1,0.6461415272049492,1,5,0,0,1,0,0,1
14,0,0,-1.080049773525835,0,0,0,0,1,0,0,1
15,1,0,1.7509039596726512,0,0,0,1,0,0,0,1
16,0,1,-1.9086215978766115,4,1,0,0,1,0,1,0
18,0,0,0.09376031097109827,1,0,0,0,1,0,0,1
20,0,1,0.36995091908802374,0,0,0,1,0,0,0,1
21,1,1,0.3009032670587924,0,0,0,1,0,0,0,1
22,1,0,-1.0110021214966036,0,0,0,0,1,0,1,0
23,1,1,-0.11338264511659583,0,0,1,0,0,0,0,1
24,0,0,-1.4943356857012233,3,1,0,0,1,0,0,1
25,1,0,0.5770938751757179,1,5,0,0,1,0,0,1
27,0,1,-0.7348115133796782,3,2,1,0,0,0,0,1
30,0,1,0.7151891792341806,0,0,1,0,0,1,0,0
33,0,1,2.5104281319941966,0,0,0,1,0,0,0,1
34,0,1,-0.11338264511659583,1,0,1,0,0,1,0,0
35,0,1,0.8532844832926434,1,0,1,0,0,0,0,1
37,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
38,0,0,-0.8038591654089096,2,0,0,0,1,0,0,1
39,1,0,-1.080049773525835,1,0,0,0,1,1,0,0
40,0,0,0.7151891792341806,1,0,0,0,1,0,0,1
41,0,0,-0.1824302971458272,1,0,0,1,0,0,0,1
43,1,0,-1.83957394584738,1,2,0,1,0,1,0,0
44,1,0,-0.7348115133796782,0,0,0,0,1,0,1,0
49,0,0,-0.8038591654089096,1,0,0,0,1,0,0,1
50,0,1,-1.5633833377304547,4,1,0,0,1,0,0,1
51,0,1,-0.5967162093212154,0,0,0,0,1,0,0,1
52,1,0,1.3366180474972629,1,0,1,0,0,1,0,0
53,1,0,-0.044334993087364466,1,0,0,1,0,0,0,1
54,0,1,2.441380479964965,0,1,1,0,0,1,0,0
56,1,0,-0.5967162093212154,0,0,0,1,0,0,0,1
57,0,1,-0.07885881910198016,0,0,0,0,1,1,0,0
58,1,0,-1.7014786417889174,1,2,0,1,0,0,0,1
59,0,1,-1.287192729613529,5,2,0,0,1,0,0,1
60,0,1,-0.527668557291984,0,0,0,0,1,1,0,0
62,0,1,1.0604274393803375,1,0,1,0,0,0,0,1
63,0,1,-1.7705262938181487,3,2,0,0,1,0,0,1
